Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating (Out of 5),Strap Material,Average Battery Life (in days)
FOSSIL ,Smartwatch,Sport,Black,"17,995","17,995",AMOLED Display,4.6,Silicone,2
FOSSIL ,Smartwatch,FTW5003 Hybrid,Gold,"12,995","12,995",AMOLED Display,4.6,Stainless Steel,2
FOSSIL ,Smartwatch,Jacqueline Hybrid,Silver,"13,495","13,495",AMOLED Display,4.6,Leather,12
FOSSIL ,Smartwatch,Commuter Hybrid,Brown,"8,995","11,995",AMOLED Display,4.6,Leather,12
FOSSIL ,Smartwatch,Q MACHINE,Grey,"6,995","6,995",AMOLED Display,4.6,Stainless Steel,1
FOSSIL ,Smartwatch,Q GRANT,Grey,"6,995","6,995",AMOLED Display,4.6,Stainless Steel,7
FOSSIL ,Smartwatch,FTW2114 Q,Black,"18,995","18,995",AMOLED Display,4.6,Stainless Steel,2
FOSSIL ,Smartwatch,FTW1134 Q Hybrid,Gray,"11,995","11,995",AMOLED Display,4.6,Stainless Steel,2
FOSSIL ,Smartwatch,Carlie Hybrid,Black,"6,995","11,995",AMOLED Display,4.6,Stainless Steel,12
FOSSIL ,Smartwatch,FTW1144 Q Hybrid,Black,"8,995","13,995",AMOLED Display,4.6,Leather,2
FOSSIL ,Smartwatch,5th Gen Julianna,Black ,"15,995","22,995",AMOLED Display,4.6,Stainless Steel,1
FOSSIL ,Smartwatch,Q Machine,Black,"10,796","13,495",AMOLED Display,4.6,Stainless Steel,1
FOSSIL ,Smartwatch,FTW1145 Q Hybrid,Gray,"6,995","13,995",AMOLED Display,4.6,Leather,2
FOSSIL ,Smartwatch,FTW2120SET Q,Gray,"23,995","23,995",AMOLED Display,4.6,Leather,2
FOSSIL ,Smartwatch,FTW1136 Q Hybrid,Blue,"11,995","11,995",AMOLED Display,4.6,Leather,2
FOSSIL ,Smartwatch,Q Venture,Beige,"15,995","15,995",AMOLED Display,4.6,Leather,1
FOSSIL ,Smartwatch,FTW2115 Q Watch,Red,"18,995","18,995",AMOLED Display,4.6,Stainless Steel,2
FOSSIL ,Smartwatch,Carlie Hybrid,Silver,"8,995","13,495",AMOLED Display,4.6,Stainless Steel,12
FOSSIL ,Smartwatch,Sport,Grey,"17,995","17,995",AMOLED Display,4.6,Silicone,2
FOSSIL ,Smartwatch,Q GRANT,Black,"6,995","6,995",AMOLED Display,4.6,Stainless Steel,7
APPLE,Smartwatch,Series 3 GPS - 42 mm Space Grey Aluminium Case,Black,"18,900","23,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,Series 3 GPS - 38 mm Space Grey Aluminium Case,Black,"16,900","20,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 44 mm Aluminium Case,Black,"36,900","36,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 40 mm Space Grey Aluminium Case,Charcoal,"31,400","33,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 40 mm Gold Aluminium Case,Plum,"31,400","33,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 40 mm Aluminium Case,Black,"33,900","33,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,Series 5 GPS + Cellular 40 mm Space Black Stainless Steel Case,Black Milanese,"69,900","69,900",OLED Retina Display,4.6,Stainless Steel,1
APPLE,Smartwatch,Series 2 - 38 mm Stainless Steel Case,Saddle Brown,"56,900","56,900",OLED Retina Display,4.6,Stainless Steel,1
APPLE,Smartwatch,SE GPS + Cellular 44 mm Space Grey Aluminium Case,Charcoal,"33,900","36,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 40 mm Space Grey Aluminium Case,Black,"31,400","33,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,Series 7 GPS + Cellular 41 mm Aluminium,Black,"50,900","50,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,"Series 7 GPS + Cellular, 45 mm Aluminium",Black,"53,900","53,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 40 mm Silver Aluminium Case,White,"31,400","33,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 40 mm Silver Aluminium Case,Deep Navy,"31,400","33,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 44 mm Space Grey Aluminium Case,Black,"33,900","36,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 40 mm Gold Aluminium Case,Pink Sand,"31,400","33,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 44 mm Gold Aluminium Case,Pink Sand,"33,900","36,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 44 mm Silver Aluminium Case,Deep Navy,"33,900","36,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 44 mm Silver Aluminium Case,White,"33,900","36,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 44 mm Gold Aluminium Case,Plum,"33,900","36,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,38 mm Space Black Stainless Steel Case,Black,"48,900","48,900",OLED Retina Display,4.6,Stainless Steel,1
APPLE,Smartwatch,"Series 7 GPS + Cellular, 45 mm Stainless Steel",Black,"77,900","77,900",OLED Retina Display,4.6,Stainless Steel,1
APPLE,Smartwatch,Sport 42 mm Space Grey Aluminium Case,Black,"29,900","29,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,"Series 7 GPS + Cellular, 45 mm Stainless Steel",Black,"73,900","73,900",OLED Retina Display,4.6,Stainless Steel,1
APPLE,Smartwatch,8 mm Stainless Steel Case,Milanese,"56,900","56,900",OLED Retina Display,4.6,Stainless Steel,1
APPLE,Smartwatch,"Series 7 GPS + Cellular, 41 mm Stainless Steel",Black,"73,900","73,900",OLED Retina Display,4.6,Stainless Steel,1
APPLE,Smartwatch,42 mm Black Stainless Steel Case with Link Bracelet,Black,"79,900","79,900",OLED Retina Display,4.6,Stainless Steel,1
APPLE,Smartwatch,Series 1 - 38 mm Silver Aluminium Case,White,"21,900","21,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,Series 3 GPS + Cellular- 42 mm Gray Ceramic Case,Black,"1,22,090","1,22,090",OLED Retina Display,4.6,Nylon,1
APPLE,Smartwatch,Series 1 - 42 mm Gold Aluminium Case,Cocoa,"25,900","25,900",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,Nike+ GPS - 42 mm Space Gray Aluminium Case,Black,"32,380","32,380",OLED Retina Display,4.6,Aluminium,1
APPLE,Smartwatch,Series 3 GPS + Cellular- 42 mm White Ceramic Case,Black,"1,22,090","1,22,090",OLED Retina Display,4.6,Nylon,1
APPLE,Smartwatch,series 2 - 38 mm Stainless Steel Case,Blue Modern,"64,900","64,900",OLED Retina Display,4.6,Stainless Steel,1
GARMIN ,Smartwatch,Forerunner 245,"Grey, Yellow","24,990","31,490",LCD Display,4.6,Silicone,7
Zebronics,Smartwatch,ZEB-FIT920CH,"Black, Grey, Red","2,499","4,499",TFT-LCD Display,4.6,Thermoplastic polyurethane,7
SAMSUNG ,Smartwatch,Galaxy Active 2,"Black, Beige","11,990","25,990",AMOLED Display,4.5,Silicone,7
SAMSUNG ,Smartwatch,Galaxy Active 2,Grey,"12,990","25,990",AMOLED Display,4.5,Silicone,7
SAMSUNG ,Smartwatch,Galaxy 46mm,Grey,"16,990","33,999",AMOLED Display,4.5,Elastomer,7
SAMSUNG ,Smartwatch,R600NZBAXAR 600,Blue,"21,390","25,155",AMOLED Display,4.5,Rubber,14
FOSSIL ,Smartwatch,FTW5018 Hybrid,Gold,"11,596","14,495",AMOLED Display,4.5,Stainless Steel,2
APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Red Aluminium Case,Red,"45,690","49,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS 40 mm Silver Aluminium Case,White,"37,490","40,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Blue Aluminium Case,Deep Navy,"45,690","49,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Graphite Stainless Steel Case,Graphite Milanese,"67,900","73,900",OLED Retina Display,4.5,Stainless Steel,1
APPLE,Smartwatch,Series 6 GPS 44 mm Red Aluminium Case,Red,"40,190","43,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Space Grey Aluminium Case,black,"45,690","49,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS 44 mm Blue Aluminium Case,Deep Navy,"43,900","43,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS + Cellular 44 mm Silver Aluminium Case,White,"48,490","52,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Gold Aluminium Case,Pink Sand,"45,690","49,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Gold Stainless Steel Case,Cyprus Green,"69,900","69,900",OLED Retina Display,4.5,Stainless Steel,1
APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Red Aluminium Case,Red,"45,690","49,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 5 GPS + Cellular 40 mm Space Grey Aluminium Case,Black,"39,990","49,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Silver Aluminium Case,White,"45,690","49,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS + Cellular 40 mm Gold Stainless Steel Case,Gold Milanese,"67,900","73,900",OLED Retina Display,4.5,Stainless Steel,1
APPLE,Smartwatch,Series 6 GPS 44 mm Blue Aluminium Case,Deep Navy,"43,900","43,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS + Cellular 44 mm Space Grey Aluminium Case,Black,"48,490","52,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS 40 mm Blue Aluminium Case,Deep Navy,"37,490","40,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS 40 mm Gold Aluminium Case,Pink Sand,"37,490","40,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS + Cellular 44 mm Red Aluminium Case,Red,"48,490","52,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS 40 mm Space Grey Aluminium Case,Black,"37,490","40,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS + Cellular 44 mm Silver Stainless Steel Case,Silver Milanese,"77,900","77,900",OLED Retina Display,4.5,Stainless Steel,1
APPLE,Smartwatch,Series 6 GPS + Cellular 44 mm Blue Aluminium Case,Deep Navy,"48,490","52,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,SE GPS + Cellular 40 mm Gold Aluminium Case,Silver Milanese,"67,900","73,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS 44 mm Space Grey Aluminium Case,Black,"40,190","43,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS 44 mm Silver Aluminium Case,White,"43,900","43,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,Series 6 GPS + Cellular 44 mm Graphite Stainless Steel Case,Black,"67,900","73,900",OLED Retina Display,4.5,Stainless Steel,1
APPLE,Smartwatch,SE GPS + Cellular 44 mm Gold Aluminium Case,Pink Sand,"43,900","43,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,42 mm Space Gray Aluminium,Black Woven,"29,900","29,900",OLED Retina Display,4.5,Aluminium,1
APPLE,Smartwatch,42 mm Stainless Steel Case,Leather,"60,900","60,900",OLED Retina Display,4.5,Stainless Steel,1
APPLE,Smartwatch,Nike+ - 38 mm Space Gray Aluminium Case,Black,"31,600","31,600",OLED Retina Display,4.5,Aluminium,1
Huawei,Smartwatch,GT2 46mm,"Black, Brown","14,990","20,990",AMOLED Display,4.5,Elastomer,14
Huawei,Smartwatch,Stainless Steel,Black,"19,990","19,990",AMOLED Display,4.5,Leather,14
Huawei,Smartwatch,GT Classic,Brown,"10,990","21,990",AMOLED Display,4.5,Leather,14
Huawei,Smartwatch,GT2 46mm,Grey,"20,990","30,990",AMOLED Display,4.5,Stainless Steel,14
Zebronics,Smartwatch,ZEB-FIT8220CH,"Black, Blue, Red, Rose Gold","2,199","3,999",TFT-LCD Display,4.5,Silicone,7
Zebronics,Smartwatch,ZEB-FITMe,"Black, Blue, Green, Grey, Pink","2,799","4,999",TFT-LCD Display,4.5,Thermoplastic polyurethane,7
